,URL,数量
470uFコンデンサ(25PK470MEFC8X11.5),,4
100nコンデンサ,,13
4.7uコンデンサ,,1
2.2uコンデンサ,,2
0.1uコンデンサ,,1
10uコンデンサ,,1
STM32F732RET6,,1
CANトランシーバ(NCV7351D1ER2G),https://www.digikey.jp/ja/NCV7351D1ER2G/4707749,1
二段USBコネクタ(USB-4AF203AS),,1
HIFコネクタ(217026SE),,5
アングルピンソケット(1*6),,1
チップLED(1608)赤,https://akizukidenshi.com/catalog/g/gI-11879/,3
チップLED(1608)青,https://akizukidenshi.com/catalog/g/gI-03982/,4
チップLED(1608)緑,https://akizukidenshi.com/catalog/g/gI-11878/,8
チップLED(1608)黄色,https://akizukidenshi.com/catalog/g/gI-11880/,8
Pchトランジスタ(2SA1162GRTE85LF),https://www.omo-ja.com/chip/b56/2sa1162grte85lf-1190.html,10
1k抵抗,,22
120抵抗,,1
10k抵抗,,26
プッシュスイッチ(TSHA-T-2.5B2-19E),,1
2*3ピンヘッダ,,1
Nchトランジスタ(2SC2712GR),https://toshiba.semicon-storage.com/jp/semiconductor,14
3端子レギュレータ(LD1117S33CTR),https://www.chip1stop.com/,1
2pinXH,,4
3pinXH,,1
5pinXH アングル,,2
4pinXH,,1
,,138
